Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
LRU Cache;Design a data structure that follows the constraints of a Least Recently Used (LRU) cache and supports get/put in O(1).;"// Example
// put(1,1); put(2,2); get(1)->1; put(3,3); get(2)->-1 (evicted); put(4,4); get(1)->-1; get(3)->3; get(4)->4";Hash map + doubly-linked list;"Map keys to nodes; move node to head on access; evict tail on overflow.";"Maintain a dummy-head/tail doubly linked list storing (key,val). Hash map stores key→node. On get/put, splice nodes to the head; when capacity exceeded, remove tail node and delete from map.";O(1) per op;O(capacity);https://leetcode.com/problems/lru-cache/;Design, Linked List, Hash Map, Medium, Meta;"class Node:
    def __init__(self, k=0, v=0):
        self.k, self.v = k, v
        self.prev = self.next = None
class LRUCache:
    def __init__(self, capacity: int):
        self.cap = capacity
        self.map = {}
        self.head = Node()
        self.tail = Node()
        self.head.next = self.tail; self.tail.prev = self.head
    def _remove(self, x):
        x.prev.next = x.next; x.next.prev = x.prev
    def _add_front(self, x):
        x.next = self.head.next; x.prev = self.head
        self.head.next.prev = x; self.head.next = x
    def get(self, key: int) -> int:
        if key not in self.map: return -1
        x = self.map[key]; self._remove(x); self._add_front(x); return x.v
    def put(self, key: int, value: int) -> None:
        if key in self.map:
            x = self.map[key]; x.v = value
            self._remove(x); self._add_front(x); return
        x = Node(key, value); self.map[key] = x; self._add_front(x)
        if len(self.map) > self.cap:
            y = self.tail.prev; self._remove(y); self.map.pop(y.k, None)";
Maximum Subarray;Given an integer array nums, find the contiguous subarray with the largest sum and return its sum.;"// Example
// nums=[-2,1,-3,4,-1,2,1,-5,4] -> 6  # [4,-1,2,1]";Kadane's algorithm;Track best ending here and global best.;Iterate nums maintaining cur=max(x,cur+x) and ans=max(ans,cur).;O(n);O(1);https://leetcode.com/problems/maximum-subarray/;DP, Array, Easy, Meta;"from typing import List
def maxSubArray(nums: List[int]) -> int:
    cur = ans = nums[0]
    for x in nums[1:]:
        cur = max(x, cur + x)
        ans = max(ans, cur)
    return ans";
Unique Paths;Given an m x n grid, return the number of unique paths from top-left to bottom-right, moving only down or right.;"// Example
// m=3, n=7 -> 28";DP combinatorics;Use DP or combinatorial formula C(m+n-2, m-1).;"Dynamic programming: dp[j]+=dp[j-1] while scanning rows; or compute binomial with multiplication to avoid overflow.";O(m*n);O(n);https://leetcode.com/problems/unique-paths/;DP, Grid, Medium, Meta;"def uniquePaths(m: int, n: int) -> int:
    dp = [1]*n
    for _ in range(1, m):
        for j in range(1, n):
            dp[j] += dp[j-1]
    return dp[-1]";
Unique Paths II;An obstacleGrid is given where 1s are obstacles. Count unique paths from top-left to bottom-right moving only down/right.;"// Example
// [[0,0,0],[0,1,0],[0,0,0]] -> 2";DP with obstacles;"dp[j]=0 on obstacle; else dp[j]+=dp[j-1].";"Initialize first row/col carefully; iterate updating DP while zeroing obstacles.";O(m*n);O(n);https://leetcode.com/problems/unique-paths-ii/;DP, Grid, Medium, Meta;"from typing import List
def uniquePathsWithObstacles(g: List[List[int]]) -> int:
    m,n=len(g),len(g[0])
    dp=[0]*n; dp[0]=1 if g[0][0]==0 else 0
    for i in range(m):
        for j in range(n):
            if g[i][j]==1:
                dp[j]=0
            elif j>0:
                dp[j]+=dp[j-1]
    return dp[-1]";
Climbing Stairs;You are climbing a staircase. It takes n steps to reach the top. Each time you can climb 1 or 2 steps. In how many distinct ways can you climb to the top?;"// Example
// n=5 -> 8";Fibonacci DP;dp[i]=dp[i-1]+dp[i-2].;Iterate from 2..n using two variables to save space.;O(n);O(1);https://leetcode.com/problems/climbing-stairs/;DP, Easy, Meta;"def climbStairs(n: int) -> int:
    a,b=1,1
    for _ in range(n): a,b=b,a+b
    return a";
House Robber;Given an integer array nums representing the amount of money of each house, return the maximum amount you can rob tonight without alerting the police (no adjacent houses).;"// Example
// [1,2,3,1] -> 4";DP with two states;Keep rob and skip totals.;"At each house: new_rob=skip+val; new_skip=max(rob,skip). Return max(rob,skip).";O(n);O(1);https://leetcode.com/problems/house-robber/;DP, Medium, Meta;"from typing import List
def rob(nums: List[int]) -> int:
    rob=skip=0
    for x in nums:
        rob, skip = skip + x, max(rob, skip)
    return max(rob, skip)";
House Robber II;Similar to House Robber, but houses are arranged in a circle. Return the maximum amount without robbing adjacent houses.;"// Example
// [2,3,2] -> 3";DP on two ranges;Rob either [0..n-2] or [1..n-1].;"Compute linear rob DP twice (excluding first or last) and take max; handle n=1 as edge case.";O(n);O(1);https://leetcode.com/problems/house-robber-ii/;DP, Medium, Meta;"from typing import List
def rob2(nums: List[int]) -> int:
    if len(nums)==1: return nums[0]
    def rob_line(a):
        r=s=0
        for x in a:
            r,s = s+x, max(r,s)
        return max(r,s)
    return max(rob_line(nums[:-1]), rob_line(nums[1:]))";
Coin Change;Given coins of different denominations and an amount, compute the fewest number of coins needed. Return -1 if impossible.;"// Example
// coins=[1,2,5], amount=11 -> 3";Bottom-up DP;dp[i]=min(dp[i], dp[i-c]+1).;"Initialize dp[0]=0 and others INF. For each coin, update dp; or loop i outer and coins inner.";O(amount * len(coins));O(amount);https://leetcode.com/problems/coin-change/;DP, Medium, Meta;"from typing import List
def coinChange(coins: List[int], amount: int) -> int:
    INF = 10**9
    dp = [0] + [INF]*amount
    for i in range(1, amount+1):
        for c in coins:
            if i>=c and dp[i-c]+1<dp[i]:
                dp[i]=dp[i-c]+1
    return -1 if dp[amount]>=INF else dp[amount]";
Min Cost Climbing Stairs;Given an integer array cost where cost[i] is the cost of step i, return the minimum cost to reach the top of the floor (beyond the last index).;"// Example
// cost=[10,15,20] -> 15";DP with rolling two;dp[i]=cost[i]+min(dp[i-1],dp[i-2]).;Return min of last two dp values since you can end from n-1 or n-2.;O(n);O(1);https://leetcode.com/problems/min-cost-climbing-stairs/;DP, Easy, Meta;"from typing import List
def minCostClimbingStairs(cost: List[int]) -> int:
    a=b=0
    for x in cost:
        a, b = b, min(a, b) + x
    return min(a, b)";
Decode Ways;Given a string s containing only digits, return the number of ways to decode it where 'A'->1, ..., 'Z'->26.;"// Example
// s='226' -> 3  # 'BZ','VF','BBF'";DP over string;dp[i]=ways up to i using 1-digit and 2-digit checks.;"Use rolling variables prev2, prev1; zero out when s[i]=='0' invalid unless part of 10 or 20.";O(n);O(1);https://leetcode.com/problems/decode-ways/;DP, String, Medium, Meta;"def numDecodings(s: str) -> int:
    if not s or s[0]=='0': return 0
    a,b=1,1
    for i in range(1,len(s)):
        cur=0
        if s[i]!='0': cur+=b
        two=int(s[i-1:i+1])
        if 10<=two<=26: cur+=a
        a,b=b,cur
    return b";
