Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Search a 2D Matrix;Given an m x n matrix where each row is sorted ascending and the first integer of each row is greater than the last integer of the previous row, search for a target value.;"Input:
  matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 3
Output:
  true";Binary Search;Treat as a flat sorted array of length m*n and binary search by index mapping.;"Binary search on [0, m*n-1]; map mid to (mid//n, mid%n) to compare with target and move bounds accordingly.";O(log (m*n));O(1);https://leetcode.com/problems/search-a-2d-matrix/;Matrix, Binary Search, Medium;"from typing import List
def searchMatrix(matrix: List[List[int]], target: int) -> bool:
    if not matrix or not matrix[0]: return False
    m, n = len(matrix), len(matrix[0])
    l, r = 0, m*n - 1
    while l <= r:
        mid = (l + r)//2
        x = matrix[mid//n][mid % n]
        if x == target: return True
        if x < target: l = mid + 1
        else: r = mid - 1
    return False";
Set Matrix Zeroes;Given an m x n integer matrix, if an element is 0, set its entire row and column to 0 in-place.;"Input:
  [[1,1,1],[1,0,1],[1,1,1]]
Output:
  [[1,0,1],[0,0,0],[1,0,1]]";In-Place Markers;"Use first row/col as zero markers; keep separate flags for initial first row/col zero.";"Scan to mark zeros on first row/col; zero inner cells using markers; finally zero first row/col if flagged.";O(m*n);O(1);https://leetcode.com/problems/set-matrix-zeroes/;Matrix, In-Place, Medium;"from typing import List
def setZeroes(a: List[List[int]]) -> None:
    m, n = len(a), len(a[0])
    fr = any(a[0][j]==0 for j in range(n))
    fc = any(a[i][0]==0 for i in range(m))
    for i in range(1, m):
        for j in range(1, n):
            if a[i][j]==0:
                a[i][0]=0; a[0][j]=0
    for i in range(1, m):
        for j in range(1, n):
            if a[i][0]==0 or a[0][j]==0:
                a[i][j]=0
    if fr:
        for j in range(n): a[0][j]=0
    if fc:
        for i in range(m): a[i][0]=0";
Rotate Image;You are given an n x n 2D matrix representing an image. Rotate the image by 90 degrees (clockwise) in-place.;"Input:
  [[1,2,3],[4,5,6],[7,8,9]]
Output:
  [[7,4,1],[8,5,2],[9,6,3]]";Transpose + Reverse Rows;Swap across diagonal then reverse each row.;First transpose the matrix (swap a[i][j] with a[j][i] for i<j). Then reverse each row in-place.;O(n^2);O(1);https://leetcode.com/problems/rotate-image/;Matrix, In-Place, Medium;"from typing import List
def rotate(matrix: List[List[int]]) -> None:
    n = len(matrix)
    for i in range(n):
        for j in range(i+1, n):
            matrix[i][j], matrix[j][i] = matrix[j][i], matrix[i][j]
    for i in range(n):
        matrix[i].reverse()";
Spiral Matrix;Given an m x n matrix, return all elements of the matrix in spiral order.;"Input:
  [[1,2,3],[4,5,6],[7,8,9]]
Output:
  [1,2,3,6,9,8,7,4,5]";Layer-by-Layer;Maintain top,bottom,left,right bounds and peel layers.;Iteratively traverse top row, right column, bottom row, left column while shrinking bounds and checking crossing.;O(m*n);O(1) extra;https://leetcode.com/problems/spiral-matrix/;Matrix, Simulation, Medium;"from typing import List
def spiralOrder(a: List[List[int]]) -> List[int]:
    res = []
    if not a: return res
    top, left, bottom, right = 0, 0, len(a)-1, len(a[0])-1
    while top <= bottom and left <= right:
        for j in range(left, right+1): res.append(a[top][j])
        top += 1
        for i in range(top, bottom+1): res.append(a[i][right])
        right -= 1
        if top <= bottom:
            for j in range(right, left-1, -1): res.append(a[bottom][j])
            bottom -= 1
        if left <= right:
            for i in range(bottom, top-1, -1): res.append(a[i][left])
            left += 1
    return res";
Word Search II;Given a 2D board and a list of words, find all words that can be formed by connecting adjacent cells (horizontally or vertically) without reusing a cell.;"Input:
  board = [[""o"",""a"",""a"",""n""],[""e"",""t"",""a"",""e""],[""i"",""h"",""k"",""r""],[""i"",""f"",""l"",""v""]], words = [""oath"",""pea"",""eat"",""rain""]
Output:
  [""eat"",""oath""]";Trie + DFS Backtracking;"Build trie of words; DFS from each cell, pruning by trie branches and marking visited in-place.";"Insert words into a trie with end markers; during DFS, when a word ends, add to result and optionally mark as found to avoid duplicates.";O(m*n*α);O(total chars);https://leetcode.com/problems/word-search-ii/;Trie, Backtracking, Hard;"from typing import List, Dict
def findWords(board: List[List[str]], words: List[str]) -> List[str]:
    root: Dict = {}
    END = ""#""
    for w in words:
        node = root
        for ch in w:
            node = node.setdefault(ch, {})
        node[END] = w
    m, n = len(board), len(board[0])
    res = []
    def dfs(i, j, node):
        ch = board[i][j]
        if ch not in node: return
        nxt = node[ch]
        word = nxt.pop('#', None)
        if word:
            res.append(word)
        board[i][j] = '*'
        for di, dj in ((1,0),(-1,0),(0,1),(0,-1)):
            ni, nj = i+di, j+dj
            if 0<=ni<m and 0<=nj<n and board[ni][nj] != '*':
                dfs(ni, nj, nxt)
        board[i][j] = ch
        if not nxt:
            node.pop(ch, None)
    for i in range(m):
        for j in range(n):
            dfs(i, j, root)
    return res";
N-Queens;Place n queens on an n x n chessboard so that no two queens attack each other. Return all distinct solutions as boards of 'Q' and '.'.;"Input:
  n = 4
Output:
  [["".Q.."",""...Q"",""Q..."",""..Q.""],[""..Q."",""Q..."",""...Q"","".Q..""]]";Backtracking with Column/Diag Sets;DFS row by row, placing a queen if column and diagonals are free.;Track used columns and diagonals (r-c, r+c). Build solution strings on success.;O(n!);O(n) recursion + output;https://leetcode.com/problems/n-queens/;Backtracking, Hard;"def solveNQueens(n: int):
    res, cols, d1, d2, board = [], set(), set(), set(), [["".""]*n for _ in range(n)]
    def dfs(r):
        if r == n:
            res.append(["""".join(row) for row in board]); return
        for c in range(n):
            if c in cols or (r-c) in d1 or (r+c) in d2: 
                continue
            cols.add(c); d1.add(r-c); d2.add(r+c); board[r][c] = ""Q""
            dfs(r+1)
            board[r][c] = "".""; cols.remove(c); d1.remove(r-c); d2.remove(r+c)
    dfs(0); return res";
Sudoku Solver;Write a program to solve a 9x9 Sudoku puzzle by filling empty cells ('.') so that each row, column, and 3x3 sub-box contains the digits 1-9 exactly once.;"Input:
  board = a valid partially filled 9x9
Output:
  board solved in-place";Backtracking + Bitmasks;"Track row/col/box availability with bit masks; choose next empty with least candidates; try digits recursively.";"Using bitmasks speeds constraint checks; backtrack on conflicts until grid is solved.";O(9^(empty)) worst;O(1);https://leetcode.com/problems/sudoku-solver/;Backtracking, Hard;"from typing import List
def solveSudoku(board: List[List[str]]) -> None:
    rows = [0]*9; cols = [0]*9; boxes = [0]*9
    empties = []
    for i in range(9):
        for j in range(9):
            if board[i][j] == '.':
                empties.append((i,j))
            else:
                d = 1 << (ord(board[i][j]) - 49)
                rows[i] |= d; cols[j] |= d; boxes[(i//3)*3 + j//3] |= d
    def dfs(k=0):
        if k == len(empties): return True
        i, j = empties[k]
        b = (i//3)*3 + j//3
        mask = ~(rows[i] | cols[j] | boxes[b]) & 0x1FF
        while mask:
            bit = mask & -mask; mask -= bit
            d = bit.bit_length()
            board[i][j] = chr(48 + d)
            rows[i] |= bit; cols[j] |= bit; boxes[b] |= bit
            if dfs(k+1): return True
            rows[i] ^= bit; cols[j] ^= bit; boxes[b] ^= bit
        board[i][j] = '.'
        return False
    dfs()";
Multiply Strings;Given two non-negative integers num1 and num2 represented as strings, return the product as a string without using big integer libraries.;"Input:
  num1 = ""123"", num2 = ""45""
Output:
  ""5535""";Grade-School Multiplication;Reverse and multiply digits, accumulate with carry in an array, then strip leading zeros.;"Simulate manual multiplication; convert digits to ints, accumulate products at i+j positions, handle carries.";O(m*n);O(m+n);https://leetcode.com/problems/multiply-strings/;Math, String, Medium;"def multiply(num1: str, num2: str) -> str:
    if num1 == ""0"" or num2 == ""0"": return ""0""
    m, n = len(num1), len(num2)
    res = [0]*(m+n)
    for i in range(m-1, -1, -1):
        for j in range(n-1, -1, -1):
            res[i+j+1] += (ord(num1[i])-48) * (ord(num2[j])-48)
    carry = 0
    for k in range(m+n-1, -1, -1):
        total = res[k] + carry
        res[k] = total % 10
        carry = total // 10
    i = 0
    while i < len(res) and res[i] == 0: i += 1
    return ''.join(str(d) for d in res[i:]) or ""0""";
Valid Sudoku;Determine if a 9x9 Sudoku board is valid. Only the filled cells need to be validated according to Sudoku rules.;"Input:
  board = partially filled 9x9
Output:
  true/false";Sets / Bitmasks;"Track seen digits in rows, cols, and boxes; detect duplicates.";For each non-empty cell, compute box id and check if digit already present in that row/col/box.;O(81);O(1);https://leetcode.com/problems/valid-sudoku/;Hash Set, Matrix, Medium;"from typing import List
def isValidSudoku(board: List[List[str]]) -> bool:
    rows = [0]*9; cols = [0]*9; boxes = [0]*9
    for i in range(9):
        for j in range(9):
            c = board[i][j]
            if c == '.': continue
            bit = 1 << (ord(c) - 49)
            b = (i//3)*3 + j//3
            if rows[i] & bit or cols[j] & bit or boxes[b] & bit:
                return False
            rows[i] |= bit; cols[j] |= bit; boxes[b] |= bit
    return True";
Basic Calculator II;Given a string s representing a basic arithmetic expression with non-negative integers and operators +, -, *, / (no parentheses), evaluate it. Division truncates toward zero.;"Input:
  s = ""3+2*2""
Output:
  7";Single Pass with Stack (or running last term);"Track current number and last term; on +/-, push previous term; on */ divide the last term appropriately.";Use a stack or running sum+last term to handle precedence without parentheses.;O(n);O(n) or O(1);https://leetcode.com/problems/basic-calculator-ii/;Stack, Math, Medium;"def calculate(s: str) -> int:
    s += '+'
    num = 0; last = 0; res = 0; op = '+'
    i = 0
    while i < len(s):
        c = s[i]
        if c.isdigit():
            num = num*10 + int(c)
        elif c == ' ':
            pass
        else:
            if op == '+':
                res += last; last = num
            elif op == '-':
                res += last; last = -num
            elif op == '*':
                last = last * num
            else:
                last = int(last / num)
            op = c; num = 0
        i += 1
    return res + last";
