Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Longest Repeating Character Replacement;Given a string s and an integer k, return the length of the longest substring you can get by replacing at most k characters so that the substring has all the same character.;"Input:
  s = ""AABABBA"", k = 1
Output:
  4  # ""AABA"" or ""ABBA""";Sliding Window + Counts;"Maintain counts and max_freq; shrink when window_size - max_freq > k.";Expand right updating char counts and track max_freq in the window. If window length minus max_freq exceeds k, move left to shrink. Track maximum window length.;O(n);O(1) (fixed alphabet);https://leetcode.com/problems/longest-repeating-character-replacement/;Strings, Sliding Window, Medium;"from collections import defaultdict
def characterReplacement(s: str, k: int) -> int:
    count = defaultdict(int)
    l = best = maxf = 0
    for r, ch in enumerate(s):
        count[ch] += 1
        maxf = max(maxf, count[ch])
        while (r - l + 1) - maxf > k:
            count[s[l]] -= 1
            l += 1
        best = max(best, r - l + 1)
    return best";
Longest Palindromic Substring;Given a string s, return the longest palindromic substring in s.;"Input:
  s = ""babad""
Output:
  ""bab""  # or ""aba""";Expand Around Center;Expand from each center (i and i,i+1) and track the max span.;"For each index, expand odd and even centers while ends match to get length; keep best substring boundaries and return it.";O(n^2);O(1);https://leetcode.com/problems/longest-palindromic-substring/;Strings, Two Pointers, Medium;"def longestPalindrome(s: str) -> str:
    if not s: return """"
    start = end = 0
    def expand(l, r):
        while l >= 0 and r < len(s) and s[l] == s[r]:
            l -= 1; r += 1
        return l+1, r-1
    for i in range(len(s)):
        l1, r1 = expand(i, i)
        l2, r2 = expand(i, i+1)
        if r1 - l1 > end - start:
            start, end = l1, r1
        if r2 - l2 > end - start:
            start, end = l2, r2
    return s[start:end+1]";
Palindromic Substrings;Given a string s, return the number of palindromic substrings in it (each single character counts).;"Input:
  s = ""aaa""
Output:
  6  # ""a"",""a"",""a"",""aa"",""aa"",""aaa""";Expand Around Center;Expand from each center and count all expansions.;"For each i, expand odd and even centers; increment count for each successful expansion while ends match.";O(n^2);O(1);https://leetcode.com/problems/palindromic-substrings/;Strings, Two Pointers, Medium;"def countSubstrings(s: str) -> int:
    n = len(s); ans = 0
    def expand(l, r):
        nonlocal ans
        while l >= 0 and r < n and s[l] == s[r]:
            ans += 1; l -= 1; r += 1
    for i in range(n):
        expand(i, i)
        expand(i, i+1)
    return ans";
Encode and Decode Strings;Design an algorithm to encode a list of strings into a single string and decode it back. The encoded format must be unambiguous.;"Input:
  strs = [""lint"",""code"",""love"",""you""]
Output:
  after decode -> same list";Delimiter with Length Prefix;Use length#string format to handle arbitrary content.;"For encoding, write f""{len(s)}#{s}"" for each string and concatenate. For decoding, parse length up to '#', then slice that many characters and repeat.";O(total characters);O(1) extra (excluding output);https://leetcode.com/problems/encode-and-decode-strings/;String, Design, Medium;"from typing import List
class Codec:
    def encode(self, strs: List[str]) -> str:
        return ''.join(f""{len(s)}#{s}"" for s in strs)
    def decode(self, s: str) -> List[str]:
        res = []; i = 0
        while i < len(s):
            j = i
            while s[j] != '#':
                j += 1
            length = int(s[i:j]); j += 1
            res.append(s[j:j+length])
            i = j + length
        return res";
Longest Common Subsequence;Given two strings text1 and text2, return the length of their longest common subsequence.;"Input:
  text1 = ""abcde"", text2 = ""ace""
Output:
  3  # ""ace""";Dynamic Programming;2D DP: dp[i][j] = 1 + dp[i-1][j-1] if match else max(dp[i-1][j], dp[i][j-1]).;"Fill a (m+1)x(n+1) DP table bottom-up; return dp[m][n]. Space-optimizable to 2 rows.";O(m*n);O(m*n) → O(min(m,n)) with roll rows;https://leetcode.com/problems/longest-common-subsequence/;DP, Strings, Medium;"def longestCommonSubsequence(a: str, b: str) -> int:
    m, n = len(a), len(b)
    dp = [0]*(n+1)
    for i in range(1, m+1):
        prev = 0
        for j in range(1, n+1):
            tmp = dp[j]
            if a[i-1] == b[j-1]:
                dp[j] = prev + 1
            else:
                dp[j] = max(dp[j], dp[j-1])
            prev = tmp
    return dp[n]";
Word Break;Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words.;"Input:
  s = ""leetcode"", wordDict = [""leet"",""code""]
Output:
  true";DP + Hash Set;dp[i]=True if any word length L has dp[i-L] and s[i-L:i] in dict.;"Use boolean dp of length n+1; iterate i and candidate word lengths or words to set dp[i].";O(n * L) (L = total word lengths);O(n);https://leetcode.com/problems/word-break/;DP, String, Medium;"def wordBreak(s: str, wordDict: list[str]) -> bool:
    words = set(wordDict)
    n = len(s)
    maxL = max(map(len, words)) if words else 0
    dp = [False]*(n+1); dp[0] = True
    for i in range(1, n+1):
        for L in range(1, min(maxL, i)+1):
            if dp[i-L] and s[i-L:i] in words:
                dp[i] = True
                break
    return dp[n]";
Combination Sum;Given distinct integers candidates and a target, return all unique combinations where chosen numbers sum to target. You may reuse numbers unlimited times.;"Input:
  candidates = [2,3,6,7], target = 7
Output:
  [[2,2,3],[7]]";Backtracking;"DFS with index and remaining; choose current candidate repeatedly or skip it.";"Sort candidates; recurse with index i and remaining rem, push candidate and stay at i to allow reuse; when rem==0, record.";O(N * T) approx;O(T) recursion;https://leetcode.com/problems/combination-sum/;Backtracking, DFS, Medium;"from typing import List
def combinationSum(candidates: List[int], target: int) -> List[List[int]]:
    candidates.sort()
    res, path = [], []
    def dfs(i, rem):
        if rem == 0:
            res.append(path.copy()); return
        if i == len(candidates) or rem < 0:
            return
        # choose
        path.append(candidates[i])
        dfs(i, rem - candidates[i])
        path.pop()
        # skip
        dfs(i+1, rem)
    dfs(0, target)
    return res";
Subsets;Given an integer array nums of unique elements, return all possible subsets (the power set).;"Input:
  nums = [1,2,3]
Output:
  [[],[1],[2],[3],[1,2],[1,3],[2,3],[1,2,3]]";Backtracking / Bitmask;Iterate and branch include/exclude or use bitmask from 0..(1<<n)-1.;"DFS accumulate path; at each index choose to include or not and record at leaves. Bitmask approach is iterative alternative.";O(n * 2^n);O(n) recursion + output;https://leetcode.com/problems/subsets/;Backtracking, DFS, Medium;"from typing import List
def subsets(nums: List[int]) -> List[List[int]]:
    res, path = [], []
    def dfs(i):
        if i == len(nums):
            res.append(path.copy()); return
        dfs(i+1)
        path.append(nums[i])
        dfs(i+1)
        path.pop()
    dfs(0)
    return res";
Number of 1 Bits;Write a function that takes an unsigned integer and returns the number of '1' bits (Hamming weight).;"Input:
  n = 00000000000000000000000000001011
Output:
  3";Bit Manipulation;Use n &= (n-1) loop to drop the lowest set bit.;"Repeatedly clear the lowest set bit; count how many iterations until n becomes zero.";O(k) (k = number of set bits);O(1);https://leetcode.com/problems/number-of-1-bits/;Bits, Easy;"def hammingWeight(n: int) -> int:
    cnt = 0
    while n:
        n &= n - 1
        cnt += 1
    return cnt";
Counting Bits;Given an integer n, return an array ans where ans[i] is the number of 1-bits in the binary representation of i for 0 ≤ i ≤ n.;"Input:
  n = 5
Output:
  [0,1,1,2,1,2]";DP on Bits;dp[i] = dp[i >> 1] + (i & 1).;"Use recurrence leveraging right-shift; compute from 1..n reusing prior results.";O(n);O(n);https://leetcode.com/problems/counting-bits/;Bits, DP, Easy;"from typing import List
def countBits(n: int) -> List[int]:
    dp = [0]*(n+1)
    for i in range(1, n+1):
        dp[i] = dp[i >> 1] + (i & 1)
    return dp";
