Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Design Linked List;Design a singly linked list with operations: get(index), addAtHead(val), addAtTail(val), addAtIndex(index,val), deleteAtIndex(index). Indices are 0-based.;"Operations:
  addAtHead(1), addAtTail(3), addAtIndex(1,2) -> list: 1->2->3, get(1) -> 2, deleteAtIndex(1) -> list: 1->3";Linked List Implementation;Use sentinel head and maintain size to simplify edge cases.;"Maintain a dummy head; traverse to (index) for get/delete and to (index) for insert. Keep size updated and guard invalid indices.";O(n) per op worst;O(n) storage;https://leetcode.com/problems/design-linked-list/;linked_list design medium;"class MyLinkedList:
    class Node:
        def __init__(self, val=0, nxt=None):
            self.val, self.next = val, nxt
    def __init__(self):
        self.head = self.Node()
        self.sz = 0
    def get(self, index: int) -> int:
        if index < 0 or index >= self.sz: return -1
        cur = self.head.next
        for _ in range(index): cur = cur.next
        return cur.val
    def addAtHead(self, val: int) -> None:
        self.addAtIndex(0, val)
    def addAtTail(self, val: int) -> None:
        self.addAtIndex(self.sz, val)
    def addAtIndex(self, index: int, val: int) -> None:
        if index < 0: index = 0
        if index > self.sz: return
        prev = self.head
        for _ in range(index): prev = prev.next
        prev.next = self.Node(val, prev.next)
        self.sz += 1
    def deleteAtIndex(self, index: int) -> None:
        if index < 0 or index >= self.sz: return
        prev = self.head
        for _ in range(index): prev = prev.next
        prev.next = prev.next.next
        self.sz -= 1";
Reverse Linked List;Given the head of a singly linked list, reverse the list and return the new head.;"Input:
  head = [1,2,3,4,5]
Output:
  [5,4,3,2,1]";Iterative Pointer Reversal;Iterate and rewire next pointers using prev/curr.;"Walk through nodes with prev=None, curr=head; at each step store nxt, set curr.next=prev, advance. Return prev at end.";O(n);O(1);https://leetcode.com/problems/reverse-linked-list/;linked_list easy;"class ListNode:
    def __init__(self, val=0, next=None):
        self.val, self.next = val, next
def reverseList(head: 'ListNode') -> 'ListNode':
    prev, cur = None, head
    while cur:
        nxt = cur.next
        cur.next = prev
        prev, cur = cur, nxt
    return prev";
Linked List Cycle;Given head of a linked list, determine if the list has a cycle.;"Input:
  head = [3,2,0,-4], pos = 1
Output:
  true";Floyd's Tortoise and Hare;"Use slow/fast pointers; if they meet, cycle exists.";"Advance slow by 1 and fast by 2; if fast reaches null, no cycle; if they meet, return True.";O(n);O(1);https://leetcode.com/problems/linked-list-cycle/;linked_list two_pointers easy;"def hasCycle(head) -> bool:
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        if slow is fast: return True
    return False";
Merge k Sorted Lists;Merge k sorted linked lists and return it as one sorted list.;"Input:
  lists = [[1,4,5],[1,3,4],[2,6]]
Output:
  [1,1,2,3,4,4,5,6]";Heap (k-way merge);"Push head of each list to min-heap; pop/push next nodes.";"Use a heap of (value, unique_id, node) to avoid compare issues; build merged list by popping min and pushing its next.";O(N log k);O(k) heap;https://leetcode.com/problems/merge-k-sorted-lists/;heap linked_list hard;"import heapq
class ListNode:
    def __init__(self, val=0, next=None):
        self.val, self.next = val, next
def mergeKLists(lists):
    h = []
    for i, node in enumerate(lists):
        if node:
            heapq.heappush(h, (node.val, i, node))
    dummy = tail = ListNode(0)
    while h:
        val, i, node = heapq.heappop(h)
        tail.next = node; tail = tail.next
        if node.next:
            heapq.heappush(h, (node.next.val, i, node.next))
    return dummy.next";
Remove Nth Node From End of List;Remove the nth node from the end of a singly linked list and return its head.;"Input:
  head = [1,2,3,4,5], n = 2
Output:
  [1,2,3,5]";Two Pointers;"Advance fast n steps, then move both until fast.next is null; remove slow.next.";"Use a dummy to simplify removing head; connect slow.next = slow.next.next.";O(n);O(1);https://leetcode.com/problems/remove-nth-node-from-end-of-list/;linked_list two_pointers medium;"class ListNode:
    def __init__(self, val=0, next=None):
        self.val, self.next = val, next
def removeNthFromEnd(head: 'ListNode', n: int) -> 'ListNode':
    dummy = ListNode(0, head)
    slow = fast = dummy
    for _ in range(n): fast = fast.next
    while fast and fast.next:
        slow = slow.next; fast = fast.next
    slow.next = slow.next.next
    return dummy.next";
Reorder List;Reorder a linked list L0→L1→…→Ln into L0→Ln→L1→Ln-1→… in-place.;"Input:
  head = [1,2,3,4]
Output:
  [1,4,2,3]";Find Middle + Reverse Second Half + Merge;Slow/fast to middle, reverse second half, merge alternately.;Split at mid, reverse second part, then weave nodes alternating from first and second lists.;O(n);O(1);https://leetcode.com/problems/reorder-list/;linked_list two_pointers medium;"class ListNode:
    def __init__(self, val=0, next=None):
        self.val, self.next = val, next
def reorderList(head: 'ListNode') -> None:
    if not head or not head.next: return
    slow = fast = head
    while fast and fast.next:
        slow = slow.next; fast = fast.next.next
    prev, cur = None, slow.next
    slow.next = None
    while cur:
        nxt = cur.next; cur.next = prev; prev, cur = cur, nxt
    l1, l2 = head, prev
    while l2:
        n1, n2 = l1.next, l2.next
        l1.next = l2; l2.next = n1
        l1, l2 = n1, n2";
Copy List with Random Pointer;Given a linked list where each node has next and random pointers, return a deep copy of the list.;"Input:
  head = [[7,null],[13,0],[11,4],[10,2],[1,0]]
Output:
  deep-copied head";Hash Map or Interweaving;"Interweave nodes to copy random in O(1) extra space; then split.";First pass: clone each node and insert after it. Second pass: set cloned.random = original.random.next. Third pass: detach cloned list.;O(n);O(1) extra (interweave);https://leetcode.com/problems/copy-list-with-random-pointer/;linked_list hash_map medium;"class Node:
    def __init__(self, x, next=None, random=None):
        self.val = x; self.next = next; self.random = random
def copyRandomList(head: 'Node') -> 'Node':
    if not head: return None
    cur = head
    while cur:
        nxt = cur.next
        cur.next = Node(cur.val, nxt)
        cur = nxt
    cur = head
    while cur:
        if cur.random:
            cur.next.random = cur.random.next
        cur = cur.next.next
    dummy = Node(0); copy = dummy
    cur = head
    while cur:
        nxt = cur.next.next
        copy.next = cur.next; copy = copy.next
        cur.next = nxt; cur = nxt
    return dummy.next";
LRU Cache;Design a data structure that follows the constraints of a Least Recently Used (LRU) cache with get/put in O(1).;"Operations:
  put(1,1), put(2,2), get(1)->1, put(3,3) evicts 2, get(2)->-1";Hash Map + Doubly Linked List;"Move node to head on access; pop tail on overflow.";"Use dict key→node and a custom DLL with head/tail sentinels to maintain recency; update on get/put.";O(1) per op;O(capacity);https://leetcode.com/problems/lru-cache/;design linked_list medium;"class Node:
    def __init__(self, k=0, v=0):
        self.k, self.v = k, v
        self.prev = self.next = None
class LRUCache:
    def __init__(self, capacity: int):
        self.cap = capacity
        self.map = {}
        self.head = Node(); self.tail = Node()
        self.head.next = self.tail; self.tail.prev = self.head
    def _remove(self, node):
        p, n = node.prev, node.next
        p.next, n.prev = n, p
    def _add_front(self, node):
        node.next = self.head.next; node.prev = self.head
        self.head.next.prev = node; self.head.next = node
    def get(self, key: int) -> int:
        if key not in self.map: return -1
        node = self.map[key]; self._remove(node); self._add_front(node)
        return node.v
    def put(self, key: int, value: int) -> None:
        if key in self.map:
            node = self.map[key]; node.v = value
            self._remove(node); self._add_front(node)
        else:
            node = Node(key, value); self.map[key] = node
            self._add_front(node)
            if len(self.map) > self.cap:
                lru = self.tail.prev; self._remove(lru); self.map.pop(lru.k, None)";
Min Cost Climbing Stairs;Given cost[i] for step i, you can climb 1 or 2 steps. Return min cost to reach the top.;"Input:
  cost = [10,15,20]
Output:
  15";DP (rolling);"dp[i]=cost[i]+min(dp[i-1],dp[i-2]); answer is min at last two.";"Iterate computing rolling costs; start from i=2 base on cost[0], cost[1].";O(n);O(1);https://leetcode.com/problems/min-cost-climbing-stairs/;dp easy;"from typing import List
def minCostClimbingStairs(cost: List[int]) -> int:
    a, b = cost[0], cost[1]
    for i in range(2, len(cost)):
        a, b = b, cost[i] + min(a, b)
    return min(a, b)";
Coin Change II;Given amount and coins, return the number of combinations that make up that amount (unlimited coins).;"Input:
  amount = 5, coins = [1,2,5]
Output:
  4";DP (order-invariant);For each coin, for a from coin..amount: dp[a]+=dp[a-coin].;"Initialize dp[0]=1; iterate coins outer to avoid permutations counting.";O(amount * len(coins));O(amount);https://leetcode.com/problems/coin-change-ii/;dp medium;"from typing import List
def change(amount: int, coins: List[int]) -> int:
    dp = [0]*(amount+1)
    dp[0] = 1
    for c in coins:
        for a in range(c, amount+1):
            dp[a] += dp[a-c]
    return dp[amount]";
