Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Combination Sum II;Given a collection of candidate numbers (candidates) and a target number, find all unique combinations where the chosen numbers sum to target. Each number may be used at most once.;"Input:
  candidates = [10,1,2,7,6,1,5], target = 8
Output:
  [[1,1,6],[1,2,5],[1,7],[2,6]]";Backtracking + Sorting + Skip Duplicates;"Sort, backtrack with index progression; skip equal elements at same depth.";"Sort candidates; at each depth, iterate i from start, skip duplicates (if i>start and same as prev), choose candidates[i] once and recurse with i+1 and reduced target.";O(2^n) worst;O(n) recursion + output;https://leetcode.com/problems/combination-sum-ii/;Backtracking, DFS, Medium;"from typing import List
def combinationSum2(candidates: List[int], target: int) -> List[List[int]]:
    candidates.sort()
    res, path = [], []
    def dfs(start, rem):
        if rem == 0:
            res.append(path.copy()); return
        if rem < 0: return
        prev = None
        for i in range(start, len(candidates)):
            x = candidates[i]
            if x == prev: 
                continue
            if x > rem: 
                break
            path.append(x)
            dfs(i+1, rem-x)
            path.pop()
            prev = x
    dfs(0, target)
    return res";
Permutations;Given an array nums of distinct integers, return all its permutations.;"Input:
  nums = [1,2,3]
Output:
  [[1,2,3],[1,3,2],[2,1,3],...]";Backtracking / Swap In-Place;"Swap current index with each i≥index; recurse; swap back.";Classic DFS that fixes one position at a time by swapping each candidate into place and recursing to fill the rest.;O(n * n!);O(n) recursion + output;https://leetcode.com/problems/permutations/;Backtracking, DFS, Medium;"from typing import List
def permute(nums: List[int]) -> List[List[int]]:
    res = []
    def dfs(i):
        if i == len(nums):
            res.append(nums.copy()); return
        for j in range(i, len(nums)):
            nums[i], nums[j] = nums[j], nums[i]
            dfs(i+1)
            nums[i], nums[j] = nums[j], nums[i]
    dfs(0)
    return res";
Permutations II;Given a collection of numbers that might contain duplicates, return all unique permutations.;"Input:
  nums = [1,1,2]
Output:
  [[1,1,2],[1,2,1],[2,1,1]]";Backtracking + Counting/Skip Duplicates;Use counter map to choose each value up to its remaining count.;"Maintain counts of values; iterate keys, choose a key if count>0, decrement, recurse, then increment back. Avoids duplicate permutations.";O(n * n!) worst;O(n) recursion + output;https://leetcode.com/problems/permutations-ii/;Backtracking, DFS, Medium;"from collections import Counter
from typing import List
def permuteUnique(nums: List[int]) -> List[List[int]]:
    cnt = Counter(nums)
    res, path = [], []
    n = len(nums)
    def dfs():
        if len(path) == n:
            res.append(path.copy()); return
        for v in list(cnt.keys()):
            if cnt[v] == 0: 
                continue
            cnt[v] -= 1
            path.append(v)
            dfs()
            path.pop()
            cnt[v] += 1
    dfs()
    return res";
Subsets II;Given an integer array nums that may contain duplicates, return all possible subsets (the power set). The solution set must not contain duplicate subsets.;"Input:
  nums = [1,2,2]
Output:
  [[],[1],[2],[1,2],[2,2],[1,2,2]]";Backtracking + Sorting + Skip Duplicates;Sort, backtrack adding each element with skip of duplicates at same depth.;"On each depth, iterate i from start; if nums[i]==nums[i-1] and i>start, skip; otherwise include nums[i] and recurse, also always record current path.";O(n * 2^n);O(n) recursion + output;https://leetcode.com/problems/subsets-ii/;Backtracking, DFS, Medium;"from typing import List
def subsetsWithDup(nums: List[int]) -> List[List[int]]:
    nums.sort()
    res, path = [], []
    def dfs(start):
        res.append(path.copy())
        prev = None
        for i in range(start, len(nums)):
            if i > start and nums[i] == nums[i-1]:
                continue
            path.append(nums[i])
            dfs(i+1)
            path.pop()
    dfs(0)
    return res";
Letter Combinations of a Phone Number;Given a string containing digits from 2-9 inclusive, return all possible letter combinations it could represent.;"Input:
  digits = ""23""
Output:
  [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]";Backtracking;DFS build path by mapping each digit to its letters.;"If digits empty return []; recursively append each mapped char for current digit and move to next index.";O(4^n * n);O(n) recursion + output;https://leetcode.com/problems/letter-combinations-of-a-phone-number/;Backtracking, DFS, Medium;"from typing import List
def letterCombinations(digits: str) -> List[str]:
    if not digits: return []
    mapd = {'2':'abc','3':'def','4':'ghi','5':'jkl','6':'mno','7':'pqrs','8':'tuv','9':'wxyz'}
    res, path = [], []
    def dfs(i):
        if i == len(digits):
            res.append(''.join(path)); return
        for ch in mapd[digits[i]]:
            path.append(ch); dfs(i+1); path.pop()
    dfs(0)
    return res";
Combinations;Given two integers n and k, return all possible combinations of k numbers chosen from the range [1, n].;"Input:
  n = 4, k = 2
Output:
  [[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]";Backtracking;DFS choose next number with pruning using remaining slots.;"Start from 1, choose or skip each number; prune when not enough numbers remain to fill k.";O(C(n,k) * k);O(k) recursion + output;https://leetcode.com/problems/combinations/;Backtracking, DFS, Medium;"from typing import List
def combine(n: int, k: int) -> List[List[int]]:
    res, path = [], []
    def dfs(start):
        if len(path) == k:
            res.append(path.copy()); return
        # pruning: i can only go to n - (k-len(path)) + 1
        for i in range(start, n - (k - len(path)) + 2):
            path.append(i); dfs(i+1); path.pop()
    dfs(1)
    return res";
Pacific Atlantic Water Flow;Given an m x n matrix of heights, find cells where water can flow to both the Pacific and Atlantic oceans. Water can flow from cell to neighboring cells with equal or lower height.;"Input:
  heights = [[1,2,2,3,5],[3,2,3,4,4],[2,4,5,3,1],[6,7,1,4,5],[5,1,1,2,4]]
Output:
  [[0,4],[1,3],[1,4],[2,2],[3,0],[3,1],[4,0]] (order may vary)";Graph DFS/BFS from Oceans;Reverse flow: start from borders of each ocean and expand to higher/equal cells.;"Run two DFS/BFS visits: one from Pacific edges, one from Atlantic; intersect visited sets to get cells reaching both.";O(m*n);O(m*n);https://leetcode.com/problems/pacific-atlantic-water-flow/;Graphs, DFS/BFS, Medium;"from collections import deque
from typing import List, Tuple
def pacificAtlantic(heights: List[List[int]]) -> List[List[int]]:
    if not heights: return []
    m, n = len(heights), len(heights[0])
    def bfs(starts):
        vis = [[False]*n for _ in range(m)]
        q = deque(starts)
        for i,j in starts: vis[i][j] = True
        while q:
            i,j = q.popleft()
            for di,dj in [(1,0),(-1,0),(0,1),(0,-1)]:
                ni, nj = i+di, j+dj
                if 0<=ni<m and 0<=nj<n and not vis[ni][nj] and heights[ni][nj] >= heights[i][j]:
                    vis[ni][nj] = True
                    q.append((ni,nj))
        return vis
    pac = bfs([(0,j) for j in range(n)] + [(i,0) for i in range(m)])
    atl = bfs([(m-1,j) for j in range(n)] + [(i,n-1) for i in range(m)])
    return [[i,j] for i in range(m) for j in range(n) if pac[i][j] and atl[i][j]]";
Number of Islands;Given a 2D grid map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and formed by connecting adjacent lands horizontally or vertically.;"Input:
  grid = [
  [""1"",""1"",""0"",""0"",""0""],
  [""1"",""1"",""0"",""0"",""0""],
  [""0"",""0"",""1"",""0"",""0""],
  [""0"",""0"",""0"",""1"",""1""]]
Output:
  3";DFS/BFS Flood Fill;"Scan cells; when unvisited land found, BFS/DFS to sink it and increment count.";Mark visited or mutate grid to '0' while exploring neighbors recursively/iteratively.;O(m*n);O(m*n);https://leetcode.com/problems/number-of-islands/;Graphs, DFS/BFS, Medium;"from typing import List
def numIslands(grid: List[List[str]]) -> int:
    if not grid: return 0
    m, n = len(grid), len(grid[0])
    def dfs(i, j):
        if i<0 or i>=m or j<0 or j>=n or grid[i][j] != '1': 
            return
        grid[i][j] = '0'
        dfs(i+1,j); dfs(i-1,j); dfs(i,j+1); dfs(i,j-1)
    count = 0
    for i in range(m):
        for j in range(n):
            if grid[i][j] == '1':
                count += 1
                dfs(i,j)
    return count";
Rotting Oranges;"In a grid, each cell is empty, fresh orange, or rotten orange. Each minute, fresh oranges adjacent to rotten ones become rotten. Return minutes until no fresh remain; -1 if impossible.";"Input:
  grid = [[2,1,1],[1,1,0],[0,1,1]]
Output:
  4";Multi-source BFS;Push all initial rotten into queue, BFS level by level decrementing fresh count.;"Count fresh, enqueue all rotten with time=0; process BFS to infect neighbors, tracking minutes; return minutes if fresh==0 else -1.";O(m*n);O(m*n);https://leetcode.com/problems/rotting-oranges/;BFS, Grid, Medium;"from collections import deque
from typing import List
def orangesRotting(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    q, fresh = deque(), 0
    for i in range(m):
        for j in range(n):
            if grid[i][j] == 2: q.append((i,j,0))
            elif grid[i][j] == 1: fresh += 1
    t = 0
    while q:
        i,j,t = q.popleft()
        for di,dj in [(1,0),(-1,0),(0,1),(0,-1)]:
            ni, nj = i+di, j+dj
            if 0<=ni<m and 0<=nj<n and grid[ni][nj] == 1:
                grid[ni][nj] = 2; fresh -= 1
                q.append((ni,nj,t+1))
    return t if fresh == 0 else -1";
Course Schedule;There are numCourses labeled from 0 to numCourses-1 with prerequisites. Determine if it's possible to finish all courses.;"Input:
  numCourses = 2, prerequisites = [[1,0]]
Output:
  true";Graph Topological Sort (Cycle Detection);Kahn's BFS (in-degree) or DFS cycle detection.;"Build adjacency and in-degree; repeatedly pop in-degree 0 nodes; if processed count equals numCourses, it's possible.";O(V+E);O(V+E);https://leetcode.com/problems/course-schedule/;Graphs, Topological Sort, Medium;"from collections import deque, defaultdict
from typing import List
def canFinish(numCourses: int, prerequisites: List[List[int]]) -> bool:
    adj = defaultdict(list)
    indeg = [0]*numCourses
    for a,b in prerequisites:
        adj[b].append(a); indeg[a] += 1
    q = deque([i for i in range(numCourses) if indeg[i] == 0])
    taken = 0
    while q:
        u = q.popleft(); taken += 1
        for v in adj[u]:
            indeg[v] -= 1
            if indeg[v] == 0: q.append(v)
    return taken == numCourses";
Course Schedule II;Return a possible order of courses you can take to finish all courses, or empty if impossible.;"Input:
  numCourses = 4, prerequisites = [[1,0],[2,0],[3,1],[3,2]]
Output:
  [0,2,1,3] (one possible)";Topological Sort (Kahn);Same as Course Schedule but output ordering as nodes are popped.;"Maintain a result list while processing in-degree 0 nodes; if processed count != numCourses, return [].";O(V+E);O(V+E);https://leetcode.com/problems/course-schedule-ii/;Graphs, Topological Sort, Medium;"from collections import deque, defaultdict
from typing import List
def findOrder(numCourses: int, prerequisites: List[List[int]]) -> List[int]:
    adj = defaultdict(list)
    indeg = [0]*numCourses
    for a,b in prerequisites:
        adj[b].append(a); indeg[a] += 1
    q = deque([i for i in range(numCourses) if indeg[i] == 0])
    order = []
    while q:
        u = q.popleft()
        order.append(u)
        for v in adj[u]:
            indeg[v] -= 1
            if indeg[v] == 0: q.append(v)
    return order if len(order) == numCourses else []";
Clone Graph;Given a reference of a node in a connected undirected graph, return a deep copy (clone) of the graph.;"Input:
  adj list for node 1: [[2,4],[1,3],[2,4],[1,3]]
Output:
  cloned graph reference";DFS/BFS with Hash Map;"Map original node to its clone; traverse and clone neighbors on demand.";"Use a dict old→new; DFS or BFS to create clones and connect neighbors, avoiding revisiting via the map.";O(V+E);O(V);https://leetcode.com/problems/clone-graph/;Graphs, DFS/BFS, Medium;"from collections import deque
class Node:
    def __init__(self, val = 0, neighbors = None):
        self.val = val
        self.neighbors = neighbors if neighbors is not None else []
def cloneGraph(node: 'Node') -> 'Node':
    if not node: return None
    mp = {node: Node(node.val)}
    q = deque([node])
    while q:
        cur = q.popleft()
        for nb in cur.neighbors:
            if nb not in mp:
                mp[nb] = Node(nb.val)
                q.append(nb)
            mp[cur].neighbors.append(mp[nb])
    return mp[node]";
Max Area of Island;Given a grid of 0s and 1s, return the maximum area of an island in the grid.;"Input:
  grid = [[0,0,1,0,0],[1,1,1,0,1],[0,1,0,0,1],[1,1,0,0,0]]
Output:
  5 (example)";DFS/BFS Flood Fill;For each unvisited land, DFS to count area and update max.;Recursively/iteratively explore neighbors, marking visited, and compute component size.;O(m*n);O(m*n);https://leetcode.com/problems/max-area-of-island/;Graphs, DFS/BFS, Medium;"from typing import List
def maxAreaOfIsland(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    def dfs(i, j):
        if i<0 or i>=m or j<0 or j>=n or grid[i][j] != 1: 
            return 0
        grid[i][j] = 2
        return 1 + dfs(i+1,j) + dfs(i-1,j) + dfs(i,j+1) + dfs(i,j-1)
    best = 0
    for i in range(m):
        for j in range(n):
            if grid[i][j] == 1:
                best = max(best, dfs(i,j))
    return best";
Surrounded Regions;Given an m x n board containing 'X' and 'O', capture all regions surrounded by 'X' by flipping surrounded 'O' to 'X'. Border-connected 'O' remain.;"Input:
  board = [[""X"",""X"",""X"",""X""],[""X"",""O"",""O"",""X""],[""X"",""X"",""O"",""X""],[""X"",""O"",""X"",""X""]]
Output:
  [[""X"",""X"",""X"",""X""],[""X"",""X"",""X"",""X""],[""X"",""X"",""X"",""X""],[""X"",""O"",""X"",""X""]]";BFS/DFS from Borders;Mark 'O' reachable from borders as safe, then flip the rest.;"Flood fill from border 'O's marking as temp; then flip remaining 'O' to 'X' and temp back to 'O'.";O(m*n);O(m*n);https://leetcode.com/problems/surrounded-regions/;Graphs, DFS/BFS, Medium;"from typing import List
def solve(board: List[List[str]]) -> None:
    if not board: return
    m, n = len(board), len(board[0])
    def dfs(i,j):
        if i<0 or i>=m or j<0 or j>=n or board[i][j] != 'O': return
        board[i][j] = '#'
        dfs(i+1,j); dfs(i-1,j); dfs(i,j+1); dfs(i,j-1)
    for i in range(m):
        dfs(i,0); dfs(i,n-1)
    for j in range(n):
        dfs(0,j); dfs(m-1,j)
    for i in range(m):
        for j in range(n):
            if board[i][j] == 'O': board[i][j] = 'X'
            elif board[i][j] == '#': board[i][j] = 'O'";
Walls and Gates;You are given an m x n grid rooms initialized with INF (empty), -1 (wall), and 0 (gate). Fill the empty rooms with the distance to its nearest gate.;"Input:
  rooms = [[2147483647,-1,0,2147483647],[2147483647,2147483647,2147483647,-1],[2147483647,-1,2147483647,-1],[0,-1,2147483647,2147483647]]
Output:
  distances filled to nearest 0";Multi-source BFS;Push all gates (0) and BFS to fill shortest distances.;"Initialize queue with all gates; BFS layer-wise updating neighbors with dist+1 if smaller.";O(m*n);O(m*n);https://leetcode.com/problems/walls-and-gates/;BFS, Grid, Medium;"from collections import deque
from typing import List
def wallsAndGates(rooms: List[List[int]]) -> None:
    INF = 2147483647
    m, n = len(rooms), len(rooms[0])
    q = deque()
    for i in range(m):
        for j in range(n):
            if rooms[i][j] == 0:
                q.append((i,j))
    while q:
        i,j = q.popleft()
        for di,dj in [(1,0),(-1,0),(0,1),(0,-1)]:
            ni, nj = i+di, j+dj
            if 0<=ni<m and 0<=nj<n and rooms[ni][nj] == INF:
                rooms[ni][nj] = rooms[i][j] + 1
                q.append((ni,nj))";
Binary Tree Right Side View;Given the root of a binary tree, return the values of the nodes you can see ordered from top to bottom when looking from the right side.;"Input:
  root = [1,2,3,null,5,null,4]
Output:
  [1,3,4]";BFS by Level (take last);Level order traversal and record the last node per level.;"Use queue; for each level of size k, iterate and push children; record last popped value.";O(n);O(n);https://leetcode.com/problems/binary-tree-right-side-view/;Trees, BFS, Medium;"from collections import deque
from typing import Optional, List
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def rightSideView(root: Optional[TreeNode]) -> List[int]:
    if not root: return []
    q, res = deque([root]), []
    while q:
        last = None
        for _ in range(len(q)):
            node = q.popleft()
            last = node.val
            if node.left: q.append(node.left)
            if node.right: q.append(node.right)
        res.append(last)
    return res";
