Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Two Sum;"Given an integer array nums and an integer target, return the indices of the two numbers such that they add up to target. Exactly one solution exists; you may not use the same element twice. Return the answer in any order.";"Input:
  nums = [2,7,11,15]
  target = 9
Output:
  [0,1]";Hash Map;"Single pass with value→index map; check complement each step.";"Traverse once maintaining value→index in a dict. For each x at i, compute c = target - x; if c already in the dict, return [dict[c], i]; else store x→i and continue.";O(n);O(n);https://leetcode.com/problems/two-sum/;arrays hash_map easy;"from typing import List
def twoSum(nums: List[int], target: int) -> List[int]:
    idx = {}
    for i, x in enumerate(nums):
        c = target - x
        if c in idx:
            return [idx[c], i]
        idx[x] = i
    return [-1, -1]";
Valid Anagram;Given two strings s and t, return true if t is an anagram of s, and false otherwise. All characters must be used exactly once.;"Input:
  s = ""anagram"", t = ""nagaram""
Output:
  true";Counting / Hash Map;Count letters in both and compare.;"Use a fixed-size array for counts of 'a'..'z' or a dict for general Unicode; increment for s and decrement for t, then verify all zeros.";O(n);O(1) for fixed alphabet (else O(k));https://leetcode.com/problems/valid-anagram/;strings hash_map easy;"def isAnagram(s: str, t: str) -> bool:
    if len(s) != len(t): 
        return False
    cnt = [0]*26
    for a, b in zip(s, t):
        cnt[ord(a)-97] += 1
        cnt[ord(b)-97] -= 1
    return all(x == 0 for x in cnt)";
Contains Duplicate;Given an integer array nums, return true if any value appears at least twice, and false if every element is distinct.;"Input:
  nums = [1,2,3,1]
Output:
  true";Hash Set;"Insert into a set; early return on repeat.";"Iterate through nums. If x already in a set, return True; otherwise insert it. If loop completes, return False.";O(n);O(n);https://leetcode.com/problems/contains-duplicate/;arrays hash_set easy;"from typing import List
def containsDuplicate(nums: List[int]) -> bool:
    seen = set()
    for x in nums:
        if x in seen:
            return True
        seen.add(x)
    return False";
Product of Array Except Self;Given an integer array nums, return an array answer such that answer[i] is the product of all the elements of nums except nums[i]. Solve without using division in O(n) time.;"Input:
  nums = [1,2,3,4]
Output:
  [24,12,8,6]";Prefix/Suffix Products;Left prefix then multiply by right-running suffix.;"Compute prefix products in-place as output. Traverse from right with a suffix accumulator multiplying into output[i]; update suffix *= nums[i].";O(n);O(1) extra (excluding output);https://leetcode.com/problems/product-of-array-except-self/;arrays prefix medium;"from typing import List
def productExceptSelf(nums: List[int]) -> List[int]:
    n = len(nums)
    out = [1]*n
    for i in range(1, n):
        out[i] = out[i-1]*nums[i-1]
    suffix = 1
    for i in range(n-1, -1, -1):
        out[i] *= suffix
        suffix *= nums[i]
    return out";
Maximum Subarray;Given an integer array nums, find the contiguous subarray with the largest sum, and return its sum.;"Input:
  nums = [-2,1,-3,4,-1,2,1,-5,4]
Output:
  6  # [4,-1,2,1]";Kadane's Algorithm;"best_ending_here = max(x, best_ending_here + x); track global max.";"Scan once maintaining best_ending_here and best_so_far; reset to current element when extending would be worse.";O(n);O(1);https://leetcode.com/problems/maximum-subarray/;arrays dp easy;"from typing import List
def maxSubArray(nums: List[int]) -> int:
    best = cur = nums[0]
    for x in nums[1:]:
        cur = max(x, cur + x)
        best = max(best, cur)
    return best";
Search in Rotated Sorted Array;"Given a rotated sorted array of distinct integers nums and a target, return its index if found; otherwise, return -1.";"Input:
  nums = [4,5,6,7,0,1,2], target = 0
Output:
  4";Binary Search (pivot-aware);At each step, decide which half is sorted and binary-search accordingly.;"Compute mid; if nums[left] ≤ nums[mid], left half is sorted—check range and move pointers; else right half is sorted—check and move accordingly.";O(log n);O(1);https://leetcode.com/problems/search-in-rotated-sorted-array/;binary_search medium;"from typing import List
def search(nums: List[int], target: int) -> int:
    l, r = 0, len(nums)-1
    while l <= r:
        m = (l + r)//2
        if nums[m] == target:
            return m
        if nums[l] <= nums[m]:
            if nums[l] <= target < nums[m]:
                r = m - 1
            else:
                l = m + 1
        else:
            if nums[m] < target <= nums[r]:
                l = m + 1
            else:
                r = m - 1
    return -1";
Valid Parentheses;Given a string s containing only '()[]{}', return true if the string is valid: open brackets close by the same type and in correct order.;"Input:
  s = ""()[]{}""
Output:
  true";Stack;"Push openers; match and pop on closers; stack empty at end.";"Use a dict of matching pairs. For each char, push openers; on closer check top matches else false; return stack empty.";O(n);O(n);https://leetcode.com/problems/valid-parentheses/;stack string easy;"def isValid(s: str) -> bool:
    pairs = {')':'(', ']':'[', '}':'{'}
    st = []
    for ch in s:
        if ch in '([{':
            st.append(ch)
        else:
            if not st or st[-1] != pairs.get(ch, ''):
                return False
            st.pop()
    return not st";
Merge Intervals;Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals and return the result sorted by start time.;"Input:
  intervals = [[1,3],[2,6],[8,10],[15,18]]
Output:
  [[1,6],[8,10],[15,18]]";Sort + Sweep;"Sort by start; extend or output when disjoint.";"Sort by start; keep current [s,e]; for [a,b], if a ≤ e extend e = max(e,b) else append [s,e] and start new; finally append last.";O(n log n);O(n) (result);https://leetcode.com/problems/merge-intervals/;intervals sorting medium;"from typing import List
def merge(intervals: List[List[int]]) -> List[List[int]]:
    if not intervals: 
        return []
    intervals.sort(key=lambda x: x[0])
    res = [intervals[0]]
    for a, b in intervals[1:]:
        if a <= res[-1][1]:
            res[-1][1] = max(res[-1][1], b)
        else:
            res.append([a, b])
    return res";
Binary Tree Level Order Traversal;Given the root of a binary tree, return the level order traversal of its nodes' values (left to right, level by level).;"Input:
  root = [3,9,20,null,null,15,7]
Output:
  [[3],[9,20],[15,7]]";BFS (Queue);"Use a queue; collect per-level values.";"Push root; while queue not empty, process current length as one level, enqueue children, append values list to result.";O(n);O(n);https://leetcode.com/problems/binary-tree-level-order-traversal/;trees bfs medium;"from collections import deque
from typing import Optional, List
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def levelOrder(root: Optional[TreeNode]) -> List[List[int]]:
    if not root: 
        return []
    q, res = deque([root]), []
    while q:
        cur = []
        for _ in range(len(q)):
            node = q.popleft()
            cur.append(node.val)
            if node.left: q.append(node.left)
            if node.right: q.append(node.right)
        res.append(cur)
    return res";
Minimum Window Substring;Given two strings s and t, return the minimum window substring of s such that every character in t (including multiplicity) is included. If no such substring exists, return an empty string.;"Input:
  s = ""ADOBECODEBANC"", t = ""ABC""
Output:
  ""BANC""";Sliding Window + Counts;Expand to satisfy all counts, then shrink while valid to minimize.;Use need=Counter(t), have counts, and a formed counter. Move right to include chars until formed==len(need), then move left dropping extras while updating best window.;O(n + m);O(k) (distinct chars);https://leetcode.com/problems/minimum-window-substring/;strings sliding_window hard;"from collections import Counter
def minWindow(s: str, t: str) -> str:
    if not t or not s: 
        return """"
    need = Counter(t)
    missing = len(t)
    left = start = end = 0
    for right, ch in enumerate(s, 1):
        if need[ch] > 0:
            missing -= 1
        need[ch] -= 1
        if missing == 0:
            while left < right and need[s[left]] < 0:
                need[s[left]] += 1
                left += 1
            if end == 0 or right - left < end - start:
                start, end = left, right
            need[s[left]] += 1
            missing += 1
            left += 1
    return s[start:end]";
